Fichier,ID_Paragraphe,Présence,1er Mot (Entrée),1er Mot (Sortie),Dernier Mot (Entrée),Dernier Mot (Sortie),Nb mots (Entrée),Nb mots (Sortie),Nb mots Identique,Nb balises (Entrée),Nb balises (Sortie),Nb balises Identique
semtags_2combiné_T2 clj. San Pedro_clean.xml,p511,OK,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/d7fd31416de6e28b5bc5656848bb211fbd17f3eb,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/d7fd31416de6e28b5bc5656848bb211fbd17f3eb,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/d7fd31416de6e28b5bc5656848bb211fbd17f3eb,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/d7fd31416de6e28b5bc5656848bb211fbd17f3eb,1,1,Oui,3,3,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p206,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p200,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p439,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p601,OK,CH_BO_08-1-,CH_BO_08-1-,CH_BO_08-1-,CH_BO_08-1-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p627,OK,CH_BO_09.,CH_BO_09.,r°..,r°..,105,105,Oui,26,26,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p672,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p852,OK,En,En,v°..,v°..,53,53,Oui,13,13,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p313,OK,CH_BO_04+,CH_BO_04+,r°..,r°..,78,78,Oui,28,28,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p390,OK,CH_BO_04-19-,CH_BO_04-19-,CH_BO_04-19-,CH_BO_04-19-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p435,OK,https://api.nakala.fr/embed/10.34847/nkl.baa9h05c/6c13cbdd40231c4e86542f462378d3ae4710b8a3,https://api.nakala.fr/embed/10.34847/nkl.baa9h05c/6c13cbdd40231c4e86542f462378d3ae4710b8a3,https://api.nakala.fr/embed/10.34847/nkl.baa9h05c/6c13cbdd40231c4e86542f462378d3ae4710b8a3,https://api.nakala.fr/embed/10.34847/nkl.baa9h05c/6c13cbdd40231c4e86542f462378d3ae4710b8a3,1,1,Oui,3,3,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p644,OK,CH_BO_09+,CH_BO_09+,l'Église.,l'Église.,42,42,Oui,12,12,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p309,OK,CH_BO_04+,CH_BO_04+,v°..,v°..,45,45,Oui,11,11,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p95,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p319,OK,CH_BO_04+,CH_BO_04+,°..,°..,50,50,Oui,18,18,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p746,OK,CH_AO_10.,CH_AO_10.,v°..,v°..,208,208,Oui,58,58,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p816,OK,CH_BO_11.,CH_BO_11.,r°..,r°..,57,57,Oui,16,16,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p327,OK,CH_BO_04,CH_BO_04,CH_BO_04,CH_BO_04,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p304,OK,"Passini,","Passini,",p.112.,p.112.,4,4,Oui,4,4,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p780,OK,fallose,fallose,apostolico.,apostolico.,238,238,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p751,OK,CH_AO_10.,CH_AO_10.,r°..,r°..,87,87,Oui,28,28,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p546,OK,On,On,autrement.,autrement.,32,32,Oui,5,5,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p335,OK,CH_BO_04.,CH_BO_04.,r°..,r°..,43,43,Oui,9,9,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p372,OK,CH_BO_04-12-,CH_BO_04-12-,CH_BO_04-12-,CH_BO_04-12-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p220,OK,OF,OF,356,356,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p616,OK,En,En,v°/,v°/,233,233,Oui,1,1,Oui
