texto de referencia,Lugar de vivienda (codigo tienda/casa de Jean P.),Lugar de trabajo (codigo tienda/casa de Jean P.),nom privilégié,Prénom privilégié,Variante n°1 du Nom,Variante n°1 du Prénom,Variante n°2 du Nom,Variante nº du Nom,Variante n°2 du Prénom,Titulo,variante n°1 del Titulo,variante n°2 del Titulo,Métier / occupation,variante n°1 del Métier / occupation,variante n°2 del Métier / occupation,ultima religion conocida,fecha cuando se firma el contrato,Citation (sources) - copiar pegar ref abajo de la pagina,Lugar de trabajo (zona/barrio - siglos 13-14-15),Lugar de trabajo (nombre de calle - siglos 13-14-15),Lugar de trabajo (nota - indicaciones localizacion - siglos 13-14-15),Lugar de trabajo (nombre de tienda/casa - siglos 13-14-15),Lugar de trabajo (direccion exacta actual),Lugar de vivienda (zona/barrio - siglos 13-14-15),Lugar de vivienda (nombre de calle - siglos 13-14-15),Lugar de vivienda (nota - indicaciones localizacion - siglos 13-14-15),Lugar de vivienda (nombre tienda/casa - siglos 13-14-15),Lugar de vivienda (direccion exacta actual)
TTOPEDITOR-T-20-BA-MO,,,,don Abdalla,,,,,,,,,tendero?,,,,1242,"adjugée à don Abadalla, moro, fils de don Mahomat",Alatares,,,,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,,Abdalla,,,,,,,,,aval/ fiador,,,,1242,"avec pour caution Abdalla, frère de don Mahomat, médecin (físico)",Alatares,,,,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,Gómez,Fernand,,,,,,capellán mayor,administrador de la Capilla de San Blas,arcipreste de Guadalajara,,,,,1398,,Alatares,,,,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,Alfonso,Pedro,,,,,,,,,alfayate,,,,1398,,Alatares,,,,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,,María,,,,,,,,,,,,,1398,,Alatares,,,,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,,Juan,,,,,,Maestre especiero,,,,,,,1398,,Alatares,,,,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,González,Alfonso,,,,,,,,,espartero,,,,03/08/1401,"baille à Maestre Juan et à son fils, Alfonso González, espartero, une tienda",Alatares,,"tienda situada entre otras tiendas de la capilla (de San Blas), cerca de Cuatro Calles",,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,Alfonso,Juan,,,,,,,,,alfayate,,,,04/08/1401,"baille à Juan Alfonso, alfayate, une tienda de la chapelle",Alatares,,"situada entre las otras tiendas de los Alatares, cerca de Cuatro Calles",,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,López Charanco ,Diego,,,,,,,,,sedero,,,,s. XIV?,"que tenait en location Diego López Charanco, sedero",Alatares,,"tienda de la capilla (de S. Blas), situada entre otras tiendas de los Alatares, cerca de Cuatro Calles",,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,Abeacara,Çag,,,,,,,,,sedero,,,,02/09/1401,"à don Çag Abeacara, sedero, judío",Alatares,,"tienda situada en los Alatares, cerca de Cuatro Calles",,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,Xenteyle,Aly,,,,,,,,,tendero,,,,23/11/1405,"baille à don Aly Xenteyle, gendre de don Mahomad, alcalde de los moros de Castille, moro, morador à Tolède, une tienda des Alatares",Alatares,,tienda en los Alatares,,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,,don Lope,,,,,,,,,,,,,s.XIV,"que tenait précédemment le petit-fils de don Lope, moro",Alatares,,tienda en los Alatares,,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,Fernández,Martin,,,,,,,,,notario,,,,15/02/1392,"baille à Martin Fernández, notario, à Gonzalo Fernández, mesonero, et à Pedro Esteban de Arroyal, converso, la tienda dite del peso",Alatares,,sin localización,tienda del peso,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,Fernández,Gonzalo,,,,,,,,,mesonero,,,,15/02/1392,"baille à Martin Fernández, notario, à Gonzalo Fernández, mesonero, et à Pedro Esteban de Arroyal, converso, la tienda dite del peso",Alatares,,sin localización,tienda del peso,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,,Esteban del Arroyal,Pedro,,,,,,,,,tendero,,,,15/02/1392,"baille à Martin Fernández, notario, à Gonzalo Fernández, mesonero, et à Pedro Esteban de Arroyal, converso, la tienda dite del peso",Alatares,,sin localización,tienda del peso,Cordonerías,,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_01/02 ,Martínez,Sancho,,,,,,,,,especiero,,,,s.XV,"tienda du chapitre en los Alatares, précédemment tenue par Sancho Martínez (especiero)",Alatares,,tienda situada entre los Alatares/ bajo la tienda del peso ,,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_01/02 ,Suárez,García,,,,,,,,,especiero,,,,1412,"a été baillée, pour deux ans, à García Suárez, especiero",Alatares,,tienda situada entre los Alatares/ bajo la tienda del peso ,,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_01/02 ,González,Fernand,,,,,,,,,tendero,,,,01/01/1419,"par Fernand González, fils de García Suárez/ avec la caution de Juan Martínez Abencabal",Alatares,,tienda situada entre los Alatares/ bajo la tienda del peso ,,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_01/02 ,González Quexares,Diego,,,,,,,,,tendero?,,,,24/12/1437,"la tienda précédemment tenue par Sancho Martínez a los Alatares, est tenue par Diego González Quexares",Alatares,,linda con de un lado con la esquina y del otro con una tienda de la Capilla de don Pedro Tenorio (capilla de San Blas),,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_01/02 ,González Bohordo,Fernand,,,,,,,,,tendero?,,,,1443,,Alatares,,,,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_01/02 ,González,Leonor,,,,,,,,,tendera?,,,,20/06/1442,"Leonor González, qui était la femme de Diego Quexares, pour sa vie et celle de Fernando, fils du même Diego Quexares/ avec la caution d'Alfonso Sánchez de la Cava, trapero, et d'Alfonza López, sa belle-mère, qui était la femme de Pedro López, sedero",Alatares,,,,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_01/02 ,de Faro,Francisco,,,,,,,,,,,,,31/07/1443,"le chapitre a baillé cette tienda à Francisco de Faro et Martín González, especiero",Alatares,,,,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_01/02 ,González,Martín,,,,,,,,,especiero,,,,31/07/1443,"le chapitre a baillé cette tienda à Francisco de Faro et Martín González, especiero",Alatares,,,,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_01,de Faro,Francisco,,,,,,,,,,,,,1465,Francisco de Faro continue de tenir pour sa vie sa partie de la tienda,Alcaná/ Alatares,,,,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_01,Franco,Francisco,,,,,,,,,especiero,,,,17/11/1480,"a été baillée à Francisco Franco, especiero/ avec la caution de son frère, Diego Franco",Alcaná/ Alatares,,jouxte d'un côté la esquina e de l'autre une tienda de la chapelle de don Pedro Tenorio,,"Calle de las Cordonerías, nº 9",,,,,
